patent_id,section_id,subsection_id,group_id,subgroup_id,category,sequence,text,uuid
6845805,['F'],['F21'],['F21S'],['F21S11/00'],['inventional'],[1],"Light guiding blinds having at least partly prism molded toothed upper sides, said prism-molding being provided at least in a first portion of the blinds disposed close to an irradiation area and serving for deflecting daylight, said prism-molded teeth of one prism side showing towards sun incidence and with one reverse prism side showing towards the interior space, and two blind edges each on the sun incidence side forming an incidence portion and two blind edges each on the interior space side forming a deflection portion, and a blend edge of a lower blind each in the incidence portion and a blind edge of an upper blind each in the deflection portion forming an angle relative to inner blind edges, and sun irradiation impinging from outside being back-reflected at an angle relative to the outer blind edges in the direction of the outer space, the front side being the sum incidence side, said blind edges being in parallel relative to each other, characterized in that a) the individual prism-molded tooth sides shoaling towards sun incidence have angles of inclination relative to the horizontal, an angle of inclination being essentially smaller in the area of the incidence portion and an angle of inclination being larger at larger distance from the incidence portion, and b) the angles of inclination of at least one of the individual teeth and the tooth sides of a first and a second tooth showing towards sun incidence increases following a concave curve path increasingly ascending starting from the irradiation area towards the interior space, and c) at an upper side of light guiding blinds back-reflected radiation is concentrated and a concentration zone is formed near the incidence portion, said concentration zone is disposed in front of at least one of blinds in the incidence portion and on the underside of an upper blind behind the incidence portion, and d) on the upper side of the light guiding blind back-reflected light radiation is back-reflected at the individual teeth at an angle wherein a back reflection angle into the outer space is smaller than the angle between two blind edges of a lower blind in the incidence portion and an upper blind in the deflection portion.",04683042-ebc8-11ea-a344-121df0c29c1e
6845808,['B'],['B22'],['B22D'],['B22D27/00'],['inventional'],[2],"A reduction casting method, comprising the steps of: allowing a metallic gas and a reactive gas to react with each other to generate a reducing compound; filling the thus-generated reducing compound into a cavity of a molding die; and casting a cast product while reducing an oxide film formed on a surface of a molten metal by the reducing compound, wherein a non-reactive gas is used as a carrier gas of the metallic gas, wherein a flow quantity of the non-reactive gas is set to be from one sixth to twice a flow quantity of the reactive gas.",0ab67e28-ebba-11ea-a344-121df0c29c1e
6846012,['B'],['B60'],['B60N'],['B60N2/28'],['inventional'],[2],"A sensor assembly for sensing attachment of an object to a u-shaped safety bar affixed to a vehicle, said safety bar having an attachment portion extending between first and second leg portions, said assembly comprising: at least one attachment member configured to affix said sensor assembly to said attachment portion of said safety bar; a movable portion configured to engage said object and move from a first position to a second position upon direct attachment of said object to said attachment portion of said safety bar; and a sensor for providing a first output when said movable portion is in said first position and a second output when said sensor is in said second position.",069b34bc-ebb7-11ea-a344-121df0c29c1e
6848340,['B'],['B67'],['B67B'],['B67B7/08'],['inventional'],[0],"A structural improvement of a wine bottle opener comprising a syringe, a needle, a cap, a slide jacket, and a bottle holder, wherein the syringe is a hollow tube-shaped object within which a high-pressured Freon can is inserted, a central position of an end of the syringe is attached by the needle, and the cap is attached to another end of the syringe, the syringe is put in the slide jacket which is a tube-shaped object that has an inner perimeter at an upper end that is roughly equal to an outer perimeter of the syringe, the slide jacket broadens at a bottom and is threaded to screw onto the bottle holder; the top of the cap has an open hole through which the Freon can inside the syringe can be pressed, the needle is composed of a base and a tube, a main body of the base is shaped geometrically and is threaded on a part of a surface thereof, enabling use of hand tools to screw on or off the needle from the syringe, the bottle holder comes with a base and is threaded for engaging the slide jacket, the bottle holder has a ring mold having an inner perimeter which is equal to an outer diameter of the raised ring of the syringe.",2b7f2d05-ebbe-11ea-a344-121df0c29c1e
6848356,['A'],['A23'],['A23G'],['A23G9/12'],['inventional'],[0],"An apparatus for the blending of ice cream having: (a) a frame; (b) input link means including an operator handle adapted for rotation about a first axis located in said frame; (c) hopper guide means mounted in said frame for reciprocal, straight-line motion; (d) straight-line motion assembly means in mechanical communication with said hopper guide means and said input link means and operatively connecting said input link means with said hopper guide means for imparting reciprocal motion to said hopper guide means; said straight line motion assembly means including: (i) a first pivot point; (ii) a second pivot point wherein an axis is defined between said first and second pivot points; (iii) four links of a first predetermined length forming a rhombus and defining in combination four pivot points at the intersection of adjacent links, wherein a first rhombus pivot point is on the ram means; (iv) a lever arm having a first end mounted for pivotal motion about said second pivot point and a second end depending there from, and on which lever arm is mounted a second rhombus pivot point, and wherein a third and forth rhombus pivot points are disposed between said first and second rhombus pivot points; said second pivot point being disposed between the first pivot point and the second rhombus pivot point; and (v) first and second lateral links connected between said first pivot point and said third and forth rhombus pivot points, wherein the pivoting motion of said lever arm about said second pivot point is translated into the reciprocating linear motion of said ram means.",29003c77-ebba-11ea-a344-121df0c29c1e
6848534,['F'],['F16'],['F16H'],['F16H25/2021'],['additional'],[4],"An electric power steering apparatus for a vehicle comprising: a rack shaft extending in a transverse direction of the vehicle, the rack shaft having a rack of gear teeth formed at a portion of a peripheral surface of one end portion thereof and an externally threaded screw formed at a portion thereof excluding the one end portion on which the rack is formed; a pinion meshing with the rack and adapted to be rotated to reciprocate the rack shaft in a longitudinal direction thereof; a ball-screw mechanism having balls and a nut threadedly engaged with the screw via the balls; and an electric motor for generating an assist torque corresponding to a steering torque, the motor having a hollow motor shaft extending around the rack shaft and connected to the nut such that the assist torque generated by the electric motor is transmitted from the motor shaft via the nut to the rack shaft, wherein the nut is disposed between the rack and the electric motor, wherein the motor shaft and the nut are fitted together in the longitudinal direction of the rack shaft so as to form a connection capable of transmitting a torque between the motor shaft and the nut, wherein the connection includes a torque limiter acting between the motor shaft and the nut to release the engagement between the motor shaft and the nut when subjected to a torque larger than a predetermined value, wherein the torque limiter comprises a split ring of resilient material having a plurality of engagement ribs extending axially of the split ring and formed on an outer peripheral surface of the split ring at equal intervals in the circumferential direction of the split ring, the engagement ribs being normally in friction engagement with an inner peripheral surface of the nut and being resiliently deformable in a radial inward direction of the split ring when subjected to the torque larger than the predetermined value, wherein the hollow motor shaft has one end portion rotatably supported by a hollow motor shaft bearing and an opposite end portion supported within a connection hole of the nut via the resilient split ring of the torque limiter, wherein further comprising a housing through which the rack shaft extends, the housing is composed of a first housing and a second housing connected together end-to-end, the first housing contains a rack-and-pinion mechanism formed jointly by the rack and the pinion and rotatably supports the nut via a rack-and-pinion bearing, and the second housing contains the electric motor with the hollow motor shaft rotatably supported only at the one end portion via the hollow motor shaft bearing.",26f360d2-ebbe-11ea-a344-121df0c29c1e
6848536,['B'],['B62'],['B62D'],['B62D5/0427'],['inventional'],[2],"A rack assist type electric power steering system, comprising: a rack bar which includes a screw hole for connecting an inner ball joint at left and right ends in an end surface and a ball screw provided in an intermediate portion, a rack gear provided on one side of the same, and a straight line section provided on the other side of the same, said straight line section having a first diameter, said intermediate portion having a second diameter, said first diameter being smaller than said second diameter; an input shaft which is engaged with a pinion of a lower portion in a rack gear portion of the rack bar; a first rack housing which is formed in such a manner that a rack gear portion of the rack bar and the input shaft are concurrently surrounded and which has a support yoke for supporting a rear portion of the rack gear; a torque sensor which surrounds an upper surrounding portion of the input shaft and is fixed to an upper portion of the first rack housing; a second rack housing which surrounds the straight line section of the rack bar and contacts by a bush inserted into an inner diameter portion of the same; and a motor assembly which includes: a cylindrical motor housing which connects both end portions to the first rack housing and the second rack housing, respectively, between the first rack housing and the second rack housing; a stator which is fixed to an inner diameter portion of the motor housing; a hollow motor shaft which is inserted into a surrounding portion of the ball screw of the rack bar in the interior of the motor housing; a rotor which includes a plurality of magnets attached along an outer surrounding surface of the motor shaft; a ball nut which is fixed to an inner diameter of the motor shaft and includes a plurality of balls, said motor shaft including an expanded portion at one end for fixing the ball nut on the inner diameter of the motor shaft; and a motor assembly which includes a plurality of bearings interposed between the motor shaft and the motor housing; and a connector which includes a through hole in one side of the motor housing and extends a power coil of the stator through the through hole and connects the same.",01244017-ebbf-11ea-a344-121df0c29c1e
6851199,['A'],['A63'],['A63B'],['A63B2243/007'],['additional'],[2],"A football measuring device, comprising: a handle having a base and a leg upstanding from the base a distance of approximately 4 inches, which corresponds to the distance from the ground to approximately the center of the nose of a football, said handle having a major axis along the base perpendicular to the yard lines and not parallel as some other devices are; a chain segment having an end secured to the base of the handle through an aperture provided in a lower section of the leg adjacent the base; an extending bar releasably secured to an upper section of the leg away from the base, said bar extending parallel to the ground, and wherein said handle, said upright leg, said extending bar and any other part of the device does not have any dials, numbers or any sort of markings to designate where the device is located on the football field.",2b816750-ebc0-11ea-a344-121df0c29c1e
6851201,['B'],['B43'],['B43L'],['B43L7/02'],['inventional'],[0],"An apparatus for marking and scoring a work object comprising: a) a first member having a first and second side and made up of two spaced parts; b) a flange connected to said second side of said first member and joining said two parts; c) a second member having a first edge and second edge, said second member being connected to extend perpendicularly from said first member and between said two parts and resting on said flange, said first edge including a plurality of crenulations formed therein extending therealong for receiving an instrument, said flange having a downwardly extending projection for sliding against a work object, wherein upon positioning of said flange of said first member with said projection against an edge of said work object and positioning the instrument between adjacent ones of said plurality of crenulations and against the work object, whereby when said first member is moved along the edge of the work object the instrument is caused to mark the work object along a line parallel to the edge of the work object; d) upper and lower surfaces of said first member being in same planes as said upper and lower surfaces of said second member so that said flange is capable of guiding said apparatus along said edge of said work object; e) said first member having inner access angles in said parts adjacent the first and second edges of said second member to allow access to work object areas what would otherwise be obstructed by said first member, said access angles having edges beveled away from said work object; and f) said crenulations having chamfered corners forming a ��V�� shaped ",18e7e827-ebc5-11ea-a344-121df0c29c1e
6851211,['G'],['G09'],['G09F'],['G09F7/22'],['inventional'],[0],"A display sign for suspension from a ceiling of the type that has a plurality of ceiling grids, an electrical light source held above one of the grids, the display sign comprising: a sign mount adapted for mounting in the one of the ceiling grids with the light source held above it, said sign mount having a passage configured to allow light to pass through it from the light source; a turntable held in said sign mount passage and having an open interior portion coincident with at least a portion of said sign mount passage whereby light may pass from the light source through said passage and through said open interior portion, said turntable having a top shoulder engaging said sign mount and an annular side wail descending from said top shoulder; and, a graphic holder for displaying graphics connected to said turntable and rotatably suspended below said sign mount, said graphic holder having an interior and a top wall with an open portion that is at least partially coincident with said turntable open portion whereby light from the light source may pass from said turntable open portion through said top wall open portion and into said graphic holder interior.",0732c70a-ebb6-11ea-a344-121df0c29c1e
6851212,['F'],['F41'],['F41A'],['F41A15/14'],['inventional'],[0],"An extractor assembly for a semi-automatic handgun having a slide with an opening, comprising: a first member configured to be disposed in the opening of the slide, the slide enclosing the first member; a second member having a portion configured to engage a round of ammunition; and a joint connecting the first member with the second member and configured to allow the second member to pivot relative to the first member to thereby engage the round of ammunition.",36d152ec-ebca-11ea-a344-121df0c29c1e
6851219,['C'],['C09'],['C09K'],['C09K17/16'],['inventional'],[0],A process for increasing the wetting rate of water repellent soil which comprises the steps of: i) preparing an aqueous wetting agent composition consisting essentially of: a) alkyl polyglycoside; b) ethylene oxide-propylene oxide block copolymer; and c) water wherein the weight ratio of the alkyl polyglycoside to the block copolymer is from 6:1 to 0.5:1; and ii) intimately contacting water repellent soil with an effective amount of said wetting agent composition.,382c734f-ebbb-11ea-a344-121df0c29c1e
6851220,['A'],['A47'],['A47G'],['A47G7/085'],['inventional'],[1],"A covering for a pot, the covering comprising: a sleeve initially having a flattened condition and comprising: a lower portion having a closed bottom, and an upper portion extending from the lower portion and detachable therefrom via a detaching element, and wherein the lower portion has a decorative pattern which has an upper boundary having an arcuate shape in the flattened condition, and wherein the detaching element is adjacent or above the upper boundary of the decorative pattern of the lower portion, and wherein when the sleeve is in an opened condition, and a pot having an upper rim is disposed into the lower portion of the sleeve, the upper boundary of the lower portion is substantially parallel to the upper rim of the pot.",3638095c-ebb9-11ea-a344-121df0c29c1e
6851411,['F'],['F02'],['F02P'],['F02P5/152'],['inventional'],[3],"A knocking index value calculation device of a spark ignition engine, comprising a controller functioning to: determine operating conditions of the engine; estimate an in-cylinder pressure at a reference crank angle, which is set at a predetermined crank position after compression top dead center, on the basis of the operating conditions; estimate a temperature of unburned gas in the cylinder at the reference crank angle on the basis of the operating conditions; and calculate a knocking index value using the in-cylinder pressure and unburned gas temperature.",19029f1d-ebd2-11ea-a344-121df0c29c1e
6851412,['F'],['F02'],['F02M'],['F02M55/025'],['inventional'],[1],"A piston engine comprising: an engine block having a plurality of cylinders therein, and a fuel injection system for supplying fuel to the cylinders, the fuel injection system comprising at least one fuel injector nozzle for each cylinder and a dedicated fuel pressure accumulator for each cylinder, wherein the engine includes a cylinder head and the fuel pressure accumulators are located at least partially within the cylinder head.",0ccd81ac-ebb8-11ea-a344-121df0c29c1e
6851414,['F'],['F02'],['F02M'],['F02M26/27'],['inventional'],[1],A device to extend the useful life of a lubricant in an EGR equipped engine comprising: a) a chemical filter placed in the EGR stream; and b) a heat exchanger/cooler placed in the upstream of the filter to reduce the temperature of said EGR stream and to increase the relative humidity the chemical filter being at a location in the EGR stream wherein the temperature of the EGR stream is such that the relative humidity of the EGR stream is greater than about 20% .,019e830c-ebbc-11ea-a344-121df0c29c1e
6851415,['F'],['F02'],['F02M'],['F02M26/23'],['additional'],[3],"A crankcase blowby gas recirculation system for an internal combustion engine by which the crankcase blowby gas from the engine is recirculated from the blowby line of the engine into the intake line of the engine, a pressure differential means for drawing a secondary flow from said crankcase blowby line into a primary flow in the said intake line, and the actuation of the intake valves and induction stroke of the engine, said blowby line discharge disposed in said recirculation line.",18ef3d42-ebb6-11ea-a344-121df0c29c1e
6851416,['F'],['F02'],['F02B'],['F02B69/02'],['inventional'],[0],"A method of controlling fuel delivery in an engine after adding an unknown fuel to a fuel tank, comprising: controlling a fuel rate of a first set of engine cylinders according to a first fueling scheme that assumes a first fuel type was added to the tank; and controlling a fuel rate of a second set of engine cylinders according to a second fueling scheme that assumes a second fuel type was added to the tank.",35a60aa4-ebc6-11ea-a344-121df0c29c1e
6851417,['H'],['H01'],['H01L'],['H01L2224/48472'],['additional'],[1],"An ignition device for internal combustion engine comprising: an igniter case having a primary input terminal; an igniter being disposed in said igniter case, said igniter comprising an internal wiring substrate having a large current portion and a small current portion, one of said large current portion and said small current portion being disposed above the other; and an ignition coil under said igniter case, wherein said igniter disposed in said igniter case and said primary input terminal are connected by wire bonding and are integrally molded.",267eefaa-ebcb-11ea-a344-121df0c29c1e
6854239,['F'],['F16'],['F16B'],['F16B12/44'],['inventional'],[3],"A unitized corner brace comprising: a) a central portion having an edge and a right angle; b) two spaced apart tabs proximal one another extending from the edge, each tab having a stepped portion proximal to the edge and stepped towards each other, the right angle being between the spaced apart tabs such that the tabs are perpendicular to each other; c) a space bounded on all sides by the stepped portions of the tabs and the edge of the central portion; and, d) opposed bracket portions extending from the central portion.",0ff8a42c-ebbc-11ea-a344-121df0c29c1e
6854242,['B'],['B65'],['B65B'],['B65B59/00'],['inventional'],[0],"A selectively reconfigurable shrink-wrap machine for use with a loading device for individually wrapping products sequentially with shrink-wrap material wherein the loading device delivers products in sequence to the machine for wrapping with shrink-wrap material, the shrink-wrap machine comprising: a sensor associated with the loading device for sensing product position on the loading device; a film supply for presenting a roll of shrink-wrap material; a wrapping station at which products are wrapped with film material from the film supply; a first conveyor for carrying products wrapped in the film material between the wrapping station and a film sealing and cutting apparatus, the first conveyor being driven to deliver products sequentially in synchronized velocity with the loading device in response to signals generated by the sensor; a second conveyor; a film sealing and cutting apparatus, the film sealing and cutting apparatus having an upper head and a lower head at least one which heads is driven for movement into and out of engagement with the other head between adjacent film wrapped products received by the first conveyor for effecting a seal between adjacent products, the upper head and lower head traveling mutually toward and away from each other, at least the upper head moving about a predetermined closed geometric path, and engaging once every movement cycle to effect a sealing and cutting operation between adjacent film wrapped products, the upper head and the lower head each maintaining a fixed angle of orientation relative to a direction of movement of products along the first conveyor during travel of the upper head about the predetermined path, the second conveyor being disposed adjacent the film sealing and cutting apparatus for receiving wrapped products sequentially from the sealing and cutting apparatus as they are delivered by the first conveyor and as they are sequentially sealed and cut; a microprocessor-driven control system having a touch sensitive viewing and controlling means for prompting and receiving operator response for controlling operation of the shrink-wrap machine, the control system having microprocessor circuits selectively programmed for control of at least one of a plurality of different possible wrapping stations or modes of operation the sensor associated with the loading device being such that to sense product position on the loading device, the sensor actually senses a product propelling means on the loading device, whereby the sensor generates signals to the first conveyor for synchronous movement with the loading device so that, irrespective of the presence of products on the loading device, the film sealing and cutting apparatus will continue to effect seals between assumed positions of adjacent products as if the products were present.",39aa8b0c-ebb7-11ea-a344-121df0c29c1e
6854250,['A'],['A01'],['A01D'],['A01D34/661'],['inventional'],[1],"A rotary mower apparatus adapted for attachment to a tractor for towing along the ground in an operating travel direction, the apparatus comprising: a mower deck; a plurality of rear wheels mounted behind the mower deck and at least one front wheel mounted ahead of the mower deck such that the mower deck tides along the ground on the wheels; a cutting blade element rotatably mounted under the mower dock so as to rotate about a substantially vertical blade axis; a floating hitch member pivotally attached at a mower end thereof to a top portion of the mower deck so as to pivot about a substantially vertical mower axis, and about a substantially horizontal mower axis oriented transversely to the floating hitch member wherein the horizontal mower axis intersects the vertical mower axis at a point above the mower deck, and adapted for pivotal attachment at a tow end thereof to the tractor about a substantially vertical tow axis, the attachment at the ends of the floating hitch member further allowing the floating hitch member and mower deck to float with respect to the tractor to follow contours of the ground; a drive adapted for connection to the tractor and operative to transfer power from the tractor to rotate the cutting blade clement; a mower angle control operative to selectively pivot the floating hitch member about the vertical mower axis with respect to the mower deck; wherein the drive comprises a lower vertical drive shaft having a rotational axis coincidental with the vertical mower axis and operatively connected at a bottom end thereof to the cutting blade element, and an upper vertical drive shaft connected at a bottom end thereof to a top end of the lower vertical drive shaft by a double universal joint, and wherein the horizontal mower axis is located substantially in the center of the double universal joint.",3a3c3c51-ebb6-11ea-a344-121df0c29c1e
6854260,['F'],['F02'],['F02K'],['F02K1/46'],['inventional'],[1],"In a nozzle for a jet engine enclosed within a tubular housing and also having an existing first stage mixer within said housing which includes a number of first stage lobes, and having a thrust reverser having a stowed position fixed relative to the tubular housing and having a deployed position, the improvement comprising a second stage mixer coupled to the exhaust aperture of said tubular housing to receive gas exhausted from the first stage mixer, said second stage mixer having a plurality of identically formed lobes which equal in number those of the first stage lobes; the second stage mixer being unenclosed by a housing and having an exterior in contact with the ambient air to allow the air to enter the mixer and mix with the gas from the first stare mixer; the second stage mixer having a trailing edge forming the exit terminus for the gas flow; and said thrust reverser in the deployed position being positioned downstream of the exit terminus to reverse the gas flow.",2a0aefcd-ebb7-11ea-a344-121df0c29c1e
6858711,['C'],['C07'],['C07H'],['C07H21/00'],['inventional'],[2],"A compound having the formula: wherein R 1 is hydrogen, hydroxyl, a phosphate linkage, or a phosphate group; R 2 is hydrogen or hydroxyl; R 3 is hydrogen, hydroxyl, a phosphate linkage or a phosphate group; and R 4 is a coupled labeled moiety.",380bc86b-ebb7-11ea-a344-121df0c29c1e
6862367,['G'],['G06'],['G06K'],['G06K9/80'],['inventional'],[1],"An artificial vision method, characterized by: generating an image percept vector; transforming said image percept vector into a feature vector; and generating a response array by multiplying said feature vector by a trained linkage matrix modeling a precept-response system.",298b78c8-ebcd-11ea-a344-121df0c29c1e
6862379,['H'],['H01'],['H01S'],['H01S5/0264'],['inventional'],[1],"An integrated circuit, the integrated circuit couplable to a semiconductor laser and to a photodetector, the photodetector optically couplable to the semiconductor laser, the semiconductor laser capable of transmitting an optical signal in response to a modulation current, and the photodetector capable of converting the optical signal into a photodetector current, the integrated circuit comprising: a modulator couplable to the semiconductor laser, the modulator capable of providing the modulation current to the semiconductor laser, the modulation current corresponding to an input data signal; and an extinction ratio controller couplable to the photodetector and coupled to the modulator, the extinction ratio controller, in response to the photodetector current, capable of adjusting the modulation current provided by the modulator to the semiconductor laser to generate the optical signal having substantially a predetermined extinction ratio.",2d002990-ebc5-11ea-a344-121df0c29c1e
6862382,['G'],['G02'],['G02F'],['G02F1/0126'],['additional'],[1],"An optical luminescent display device, adapted for use with radiant energy source, comprising: an optical fiber; a luminescent material; a notch formed in said optical fiber adapted to direct a first type of radiant energy within said optical fiber toward the luminescent material; and a reflective coating mounted on said optical fiber transversally opposite from said notch.",3580a869-ebd0-11ea-a344-121df0c29c1e
